Fecha,Estado,Ventas,año,mes,día_semana,semana,mes_nombre,seasonal,trend,residual,observed
2023-03-01,Aguascalientes,6.7051770537029275e-06,2023,3,Wednesday,9,March,-10557.843738773649,,,750.57
2023-03-01,Aguascalientes,7.707911367848834e-06,2023,3,Wednesday,9,March,-4071.1664760173317,,,862.8
2023-03-01,Aguascalientes,1.4554345033033957e-05,2023,3,Wednesday,9,March,18436.229990661264,,,1629.08
2023-03-01,Aguascalientes,2.682338860592143e-05,2023,3,Wednesday,9,March,-147.91563314655517,,,3002.28
2023-03-01,Aguascalientes,3.581565404717733e-05,2023,3,Wednesday,9,March,-5341.979838857089,,,4008.73
2023-03-01,Aguascalientes,0.0006325324534125385,2023,3,Wednesday,9,March,-17155.541502245276,,,70795.64
2023-03-01,Aguascalientes,0.0020333464827603006,2023,3,Wednesday,9,March,4491.66438682245,26589.3075,196499.32811317753,227580.3
2023-03-01,Baja California,6.7051770537029275e-06,2023,3,Wednesday,9,March,38108.337026605455,27372.285,-64730.05202660545,750.57
2023-03-01,Baja California,6.7051770537029275e-06,2023,3,Wednesday,9,March,-37092.40683128675,28846.66916666667,8996.307664620083,750.57
2023-03-01,Baja California,1.4554345033033957e-05,2023,3,Wednesday,9,March,22389.32609491734,33269.70041666667,-54029.946511584,1629.08
2023-03-01,Baja California,1.4554345033033957e-05,2023,3,Wednesday,9,March,-4526.331361270064,40375.26708333333,-34219.855722063265,1629.08
2023-03-01,Baja California,3.065634789281972e-05,2023,3,Wednesday,9,March,-4532.372117409793,51457.32999999999,-43493.67788259019,3431.28
2023-03-01,Baja California,4.694160015813993e-05,2023,3,Wednesday,9,March,-10557.843738773649,65027.11499999999,-49215.281261226344,5253.99
2023-03-01,Baja California,0.00013536636267221753,2023,3,Wednesday,9,March,-4071.1664760173317,94675.79958333334,-75453.79310731601,15150.84
2023-03-01,Baja California,0.0002030499907401779,2023,3,Wednesday,9,March,18436.229990661264,142819.16583333333,-138529.1358239946,22726.26
2023-03-01,Baja California,0.0007867640341395512,2023,3,Wednesday,9,March,-147.91563314655517,193446.8883333333,-105241.12270018675,88057.85
2023-03-01,Baja California,0.0007995308263415135,2023,3,Wednesday,9,March,-5341.979838857089,309512.7995833333,-214684.05974447622,89486.76
2023-03-01,Baja California,0.002245158314652669,2023,3,Wednesday,9,March,-17155.541502245276,399383.28041666665,-130940.61891442137,251287.12
2023-03-01,Baja California,0.003330507107504116,2023,3,Wednesday,9,March,4491.66438682245,399083.94166666665,-30811.946053489126,372763.66
2023-03-01,Baja California,0.005067150198072433,2023,3,Wednesday,9,March,38108.337026605455,398318.2879166666,130709.01505672796,567135.64
2023-03-01,Baja California,0.005269704227110943,2023,3,Wednesday,9,March,-37092.40683128675,396855.8966666666,230042.8001646202,589806.29
2023-03-01,Baja California,0.005607723078521767,2023,3,Wednesday,9,March,22389.32609491734,392438.1962499999,212811.1776550827,627638.7
2023-03-01,Baja California,0.019309548544019808,2023,3,Wednesday,9,March,-4526.331361270064,385332.62958333327,1780395.031777937,2161201.33
2023-03-01,Baja California Sur,6.7051770537029275e-06,2023,3,Wednesday,9,March,-4532.372117409793,371599.2333333332,-366316.29121592344,750.57
2023-03-01,Baja California Sur,6.7051770537029275e-06,2023,3,Wednesday,9,March,-10557.843738773649,346221.90666666656,-334913.4929278929,750.57
2023-03-01,Baja California Sur,1.142266540680851e-05,2023,3,Wednesday,9,March,-4071.1664760173317,307761.02499999985,-302411.2885239825,1278.5700000000002
2023-03-01,Baja California Sur,1.3411247571109095e-05,2023,3,Wednesday,9,March,18436.229990661264,261801.42374999996,-278736.5137406612,1501.14
2023-03-01,Baja California Sur,2.9109583529771153e-05,2023,3,Wednesday,9,March,-147.91563314655517,212997.46249999994,-209591.38686685337,3258.16
2023-03-01,Baja California Sur,3.3529459123327597e-05,2023,3,Wednesday,9,March,-5341.979838857089,96920.88958333335,-87826.05974447625,3752.85
2023-03-01,Baja California Sur,6.628982469090647e-05,2023,3,Wednesday,9,March,-17155.541502245276,7032.5337500000005,17542.527752245274,7419.52
2023-03-01,Baja California Sur,6.768273460425715e-05,2023,3,Wednesday,9,March,4491.66438682245,7298.71625,-4214.96063682245,7575.42
2023-03-01,Baja California Sur,8.27581476690205e-05,2023,3,Wednesday,9,March,38108.337026605455,8583.86875,-37429.485776605456,9262.72
2023-03-01,Baja California Sur,0.00039891974977564036,2023,3,Wednesday,9,March,-37092.40683128675,11919.94125,69821.24558128676,44648.78
2023-03-01,Campeche,1.3411247571109095e-05,2023,3,Wednesday,9,March,22389.32609491734,14033.408749999999,-34921.59484491734,1501.14
2023-03-01,Campeche,1.3411247571109095e-05,2023,3,Wednesday,9,March,-4526.331361270064,13803.830833333333,-7776.35947206327,1501.14
2023-03-01,Campeche,2.7966486067846295e-05,2023,3,Wednesday,9,March,-4532.372117409793,13400.862916666667,-5738.270799256875,3130.2200000000003
2023-03-01,Campeche,4.25217245645835e-05,2023,3,Wednesday,9,March,-10557.843738773649,12838.621250000002,2478.5224887736467,4759.3
2023-03-01,Campeche,0.00025118302474658795,2023,3,Wednesday,9,March,-4071.1664760173317,12223.407916666669,19961.258559350663,28113.5
2023-03-01,Campeche,0.0004890092138615941,2023,3,Wednesday,9,March,18436.229990661264,10094.745000000003,26200.97500933873,54731.95
2023-03-01,Chiapas,6.7051770537029275e-06,2023,3,Wednesday,9,March,-147.91563314655517,8302.257499999998,-7403.771866853443,750.57
